,page_number,Sheet Number,subject,Scaled Length,x1,y1,x2,y2,NM,ScaleFactor,author,modified_date,xref,Type,AISC_Manual_Label,W,PB
910,4,,"('W10X54',)",0.8266601562,25.1600002713,36.5633341471,25.1600002713,36.6666666667,fitz-A510,96,"('W10X54',)",,3067,,,,
911,4,,"('W10X54',)",0.8266601562,25.2633327908,36.5633341471,25.2633327908,36.6666666667,fitz-A511,96,"('W10X54',)",,3069,,,,
912,4,,"('W10X54',)",0.8266601562,25.2633327908,36.6133321126,25.1600002713,36.6133321126,fitz-A512,96,"('W10X54',)",,3071,,,,
913,4,,"('W10X54',)",0.8266601562,25.1600002713,30.7100016276,25.1600002713,30.8133341471,fitz-A513,96,"('W10X54',)",,3073,,,,
914,4,,"('W10X54',)",0.8266601562,25.2633327908,30.7100016276,25.2633327908,30.8133341471,fitz-A514,96,"('W10X54',)",,3075,,,,
915,4,,"('W10X54',)",0.8266601562,25.2633327908,30.7599995931,25.1600002713,30.7599995931,fitz-A515,96,"('W10X54',)",,3077,,,,
916,4,,"('W10X54',)",0.8266601562,25.2633327908,25.0833333333,25.1600002713,25.0833333333,fitz-A516,96,"('W10X54',)",,3079,,,,
917,4,,"('W10X54',)",0.8266601562,25.2633327908,25.190000746,25.1600002713,25.190000746,fitz-A517,96,"('W10X54',)",,3081,,,,
918,4,,"('W10X54',)",0.8533393012,25.2099999322,25.190000746,25.2099999322,25.0833333333,fitz-A518,96,"('W10X54',)",,3083,,,,
919,4,,"('W10X54',)",0.8266601562,25.1600002713,28.3333333333,25.1600002713,28.4366658529,fitz-A519,96,"('W10X54',)",,3085,,,,
920,4,,"('W10X54',)",0.8266601562,25.2633327908,28.3333333333,25.2633327908,28.4366658529,fitz-A520,96,"('W10X54',)",,3087,,,,
921,4,,"('W10X54',)",0.8266601562,25.2633327908,28.3866678874,25.1600002713,28.3866678874,fitz-A521,96,"('W10X54',)",,3089,,,,
922,4,,"('W10X54',)",0.8266601562,25.1600002713,33.9600016276,25.1600002713,34.0633341471,fitz-A522,96,"('W10X54',)",,3091,,,,
923,4,,"('W10X54',)",0.8266601562,25.2633327908,33.9600016276,25.2633327908,34.0633341471,fitz-A523,96,"('W10X54',)",,3093,,,,
924,4,,"('W10X54',)",0.8266601562,25.2633327908,34.0099995931,25.1600002713,34.0099995931,fitz-A524,96,"('W10X54',)",,3095,,,,
925,4,,"('W10X54',)",0.8266601562,21.8466661241,36.5633341471,21.8466661241,36.6666666667,fitz-A525,96,"('W10X54',)",,3097,,,,
926,4,,"('W10X54',)",0.8266601562,21.9500003391,36.5633341471,21.9500003391,36.6666666667,fitz-A526,96,"('W10X54',)",,3099,,,,
927,4,,"('W10X54',)",0.8266737196,21.9500003391,36.6133321126,21.8466661241,36.6133321126,fitz-A527,96,"('W10X54',)",,3101,,,,
928,4,,"('W10X68',)",0.8533528646,21.8433329264,30.7066650391,21.8433329264,30.8133341471,fitz-A528,96,"('W10X68',)",,3103,,,,
929,4,,"('W10X68',)",0.8533528646,21.9533335368,30.7066650391,21.9533335368,30.8133341471,fitz-A529,96,"('W10X68',)",,3105,,,,
930,4,,"('W10X68',)",0.8800048828,21.9533335368,30.7599995931,21.8433329264,30.7599995931,fitz-A530,96,"('W10X68',)",,3107,,,,
931,4,,"('W10X68',)",0.8533393012,21.8433329264,25.0833333333,21.8433329264,25.190000746,fitz-A531,96,"('W10X68',)",,3109,,,,
932,4,,"('W10X68',)",0.8533393012,21.9533335368,25.0833333333,21.9533335368,25.190000746,fitz-A532,96,"('W10X68',)",,3111,,,,
933,4,,"('W10X68',)",0.8800048828,21.9533335368,25.1366678874,21.8433329264,25.1366678874,fitz-A533,96,"('W10X68',)",,3113,,,,
934,4,,"('W10X68',)",0.8533257378,21.8433329264,28.3333333333,21.8433329264,28.4399990506,fitz-A534,96,"('W10X68',)",,3115,,,,
935,4,,"('W10X68',)",0.8533257378,21.9533335368,28.3333333333,21.9533335368,28.4399990506,fitz-A535,96,"('W10X68',)",,3117,,,,
936,4,,"('W10X68',)",0.8800048828,21.9533335368,28.3866678874,21.8433329264,28.3866678874,fitz-A536,96,"('W10X68',)",,3119,,,,
937,4,,"('W10X54',)",0.8266601562,17.6600002713,36.5633341471,17.6600002713,36.6666666667,fitz-A537,96,"('W10X54',)",,3121,,,,
938,4,,"('W10X54',)",0.8266601562,17.7633327908,36.5633341471,17.7633327908,36.6666666667,fitz-A538,96,"('W10X54',)",,3123,,,,
939,4,,"('W10X54',)",0.8266601562,17.7633327908,36.6133321126,17.6600002713,36.6133321126,fitz-A539,96,"('W10X54',)",,3125,,,,
940,4,,"('W10X54',)",0.8266601562,17.6600002713,30.7100016276,17.6600002713,30.8133341471,fitz-A540,96,"('W10X54',)",,3127,,,,
941,4,,"('W10X54',)",0.8266601562,17.7633327908,30.7100016276,17.7633327908,30.8133341471,fitz-A541,96,"('W10X54',)",,3129,,,,
942,4,,"('W10X54',)",0.8266601562,17.7633327908,30.7599995931,17.6600002713,30.7599995931,fitz-A542,96,"('W10X54',)",,3131,,,,
943,4,,"('W10X54',)",0.8266601562,17.6600002713,28.3333333333,17.6600002713,28.4366658529,fitz-A543,96,"('W10X54',)",,3133,,,,
944,4,,"('W10X54',)",0.8266601562,17.7633327908,28.3333333333,17.7633327908,28.4366658529,fitz-A544,96,"('W10X54',)",,3135,,,,
945,4,,"('W10X54',)",0.8266601562,17.7633327908,28.3866678874,17.6600002713,28.3866678874,fitz-A545,96,"('W10X54',)",,3137,,,,
